ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Media_IDs,comment,comment_french
LX000342,xed,ghálá,v.tr,,,,
LX000343,xed,ghálí,n,,,,
LX000344,xed,ghálú,vn,,,,
LX000345,xed,ghàlíyá,n,,,,
LX000346,xed,ghàmbákèɗ,n,,,,
LX000347,xed,ghùmbáŋ,n,,,,
LX000348,xed,ghàmbázlígír,n,,,,
LX000349,xed,ghúmá,n,,,,
LX000350,xed,ghúméy’á bìsár,n,,,,
LX000351,xed,ghúndíz,n,,,,
LX000352,xed,ghúní,pron,,,,
LX000353,xed,ghùnà,v,,,,
LX000354,xed,ghùnú,n,,,,
LX000355,xed,ghǝ́ŋà ɗàfá,n,,,,
LX000356,xed,ghùrzlí ká pákáw’,n,,,kwàcèrì or kòmcèrì: ‘shell of snails’,
LX000357,xed,ghùrzlík,n,,,,
LX000358,xed,ghùràfá gù,n,,,,
LX000359,xed,ghùràfá hlà,n,,,,
LX000360,xed,ghùràfá mádègɗà,n,,,,
LX000361,xed,ghùràfá slà,n,,,,
LX000362,xed,ghùràfá sùdí,n,,,,
LX000363,xed,ghùrúm,n,,,,
LX000364,xed,ghàtálàkw,n,,,,
LX000365,xed,ghàtálàkwá hlà,n,,,,
LX000366,xed,ghàtálàkwá lázgláftà,n,,,,
LX000367,xed,ghúvì,n,,,,
LX000368,xed,ghúv-à zwáŋ,n,,,,
LX000369,xed,ghùvázú,n,,,,
LX000370,xed,ghùvàzú,n,,,,
LX000371,xed,ghúyá,v unsp,,,,
LX000372,xed,ghúyákú,n,,,,
LX000373,xed,ghàzlə̀glà,n,,,,
LX000374,xed,ghàzlə́rkà,n,,,used to make sauces,
LX000375,xed,ghùzú,n,,,,
LX000376,xed,ghùzáɗìyàk,n,,,,
LX000377,xed,ghúálá,v.intr,,,intransitive only,
LX000378,xed,ghúálá-kw,vn,,,,
LX000379,xed,ghùáŋ,quant,,,,
LX000380,xed,glá,v unsp,,,,
LX000381,xed,glífìn,n,,,,
LX000382,xed,glégànzí,n,,,,
LX000383,xed,grə̀ndày’,n,,,,
LX000384,xed,grà,v.tr,,,,
LX000385,xed,grá,n,,,,
LX000386,xed,gwyákú,vn,,d1014ce890ab90dcde29048a47ed7c03,,
LX000387,xed,gwédzégwédzá,n,,bf1b6ed305747ba9e9a9ae0ac3b2ebbe,,
LX000388,xed,gwàdzègwèr,n,,,,
LX000389,xed,gwàdzègwèr,n,,,,
LX000390,xed,gwádzáŋ,n,,,,
LX000391,xed,gwàɗá,v,,,this verb cannot have an object or an addressee,ce verbe ne peut avoir ni objet ni destinataire
LX000392,xed,gwàɗá,n,,,,
LX000393,xed,gwàdàgà,adv,,,,
LX000394,xed,gwàdám,n,,,,
LX000395,xed,gwìgwílà,n,,10b161eb59b25ba62f78b25923eee751,,
LX000396,xed,gwál,n,,2ff5afb541536ff14b29ec28e0fff040,,
LX000397,xed,gwál ráyá,n,,b7603b482139a97c0e18dad773e790a7,,
LX000398,xed,gwàlàmbá,n,,5063836d030bb40f968c726cb5f4e9a1,,
LX000399,xed,gwèrék,n,,,,
LX000400,xed,gwárám,n,,3273cc629fab9097be16ae448ab852ca,,
LX000401,xed,gwàslàr,n,,1ecbce223acacbfd7310d3fabea7dd4d,,
LX000402,xed,gwàtà,n,,,,
LX000403,xed,gwàvà,n,,82d83969d575e70edbbec1006ae63fb4,,
LX000404,xed,gwì’yán,n,,8c0fdfa45f33ff8a25079c547d21c383,,
LX000405,xed,gá,adv,,,,
LX000406,xed,gà,prep,,,,
LX000407,xed,gá,v.tr,,,,
LX000408,xed,gì,adv,,,,
LX000409,xed,gù,n,,,,
LX000410,xed,gá krì,v.tr,,,,
LX000411,xed,gá mútá,v.tr,,,,
LX000412,xed,gí rvíɗìk,n,,,,
LX000413,xed,gá zgú,v,LX001544,,,
LX000414,xed,gùɓá,v.tr,,,,
LX000415,xed,gádghə́l,n,,,,
LX000416,xed,gádzágádzá,n,,,,
LX000417,xed,gìdzàgìdzà,n,,,,
LX000418,xed,gídzàlá,n,,,,
LX000419,xed,gàdzèrkwàghí,n,,,,
LX000420,xed,gídzá’w,n,,,,
LX000421,xed,gídídíŋ,adj,,,,
LX000422,xed,gúɗúk,adj,,,,
LX000423,xed,gúɗúk,adv,,,,
LX000424,xed,gòɗá-ná-gòɗá,v,,,,
LX000425,xed,gúdús,n,,,,
LX000426,xed,gáfgàl,n,,,,
LX000427,xed,gìgrà,v,,,,
LX000428,xed,gùgwílà,n,,,,
LX000429,xed,gùgzl úm,n,,,,
LX000430,xed,gígzláx,n,,,,
LX000431,xed,gàgà,n,,,,
LX000432,xed,gùgúɗú,n,,,,
LX000433,xed,gìgìɗá,v unsp,,,,
LX000434,xed,gìgìɗákú,vn,,,,
LX000435,xed,gìgímzlá,n,,,,
LX000436,xed,gùgúrà,n,,,,
LX000437,xed,gàhlá,n,,,,
LX000438,xed,gúlí,adv,,,,
LX000439,xed,gùlú,np,,,,
LX000440,xed,gám,n,,,,
LX000441,xed,gàmàk,n,,,,
LX000442,xed,gáŋ,n,,,,
LX000443,xed,gòngòn,n,,,,
LX000444,xed,gànú,n,,,,
LX000445,xed,gúná,v unsp,,,,
LX000446,xed,gàná,v.intr,,,,
LX000447,xed,gá-ná-ghá-gá,v,,,,
LX000448,xed,gùpà,n,,,,
LX000449,xed,gásá,n,,,,
LX000450,xed,gùsúɗà,n,,,,
LX000451,xed,gàtsá,v.tr,,,,
LX000452,xed,gàtsàtsà,n,,,,
LX000453,xed,gátváyà,n,,,,
LX000454,xed,gàtú,n,,,,
LX000455,xed,gítà,n,,,,
LX000456,xed,gávlì,np,,,,
LX000457,xed,gàvú,n,,,,
LX000458,xed,gàvàkú,vn,,,,
LX000459,xed,gùvúr,n,,,,
LX000460,xed,gúyá,v,,,,
LX000461,xed,gàyà,n,,,,
LX000462,xed,gàzlə̀mpày’,n,,,,
LX000463,xed,gàzlú,n,,,,
LX000464,xed,gàzlú,n,,,the name comes from the fact that when they move they move all together,son nom vient du fait qu’il se déplace en groupe
LX000465,xed,gàzlá,v.intr,,,,
LX000466,xed,gázéngèl,n,,,,
LX000467,xed,hgá,n,,,,
LX000468,xed,hgà,v,,,,
LX000469,xed,hldrá,v,,,,
LX000470,xed,hlə̀gə̀,vn,,,,
